yr_qt,OldNewStage,count,sum
2016Q1,"(u'Negotiation/Review', u'Closed Deferred')",1,10
2016Q1,"(u'Prospect', u'Closed Deferred')",29,6622
2016Q1,"(u'Prospect', u'Closed Lost')",1,43
2016Q1,"(u'Qualified', u'Closed Deferred')",25,5323
2016Q1,"('Qualified', u'Closed Lost')",4,472
2016Q1,"(u'Short List', u'Closed Deferred')",1,260
2016Q1,"(u'Short List', u'Closed Lost')",4,621
2016Q2,"(u'Buying Process id.', u'Closed Deferred')",13,4435
2016Q2,"(u'Buying Process id.', u'Closed Lost')",2,104
2016Q2,"(u'Prospect', u'Closed Deferred')",33,12307
2016Q2,"(u'Prospect', u'Closed Lost')",4,65
2016Q2,"(u'Qualified', u'Closed Deferred')",48,5635
2016Q2,"('Qualified', u'Closed Lost')",5,109
2016Q2,"(u'Short List', u'Closed Deferred')",3,196
2016Q2,"(u'Short List', u'Closed Lost')",3,243
2016Q3,"(u'Buying Process id.', u'Closed Deferred')",17,3182
2016Q3,"(u'Buying Process id.', u'Closed Lost')",3,424
2016Q3,"(u'Closed Won', u'Closed Deferred')",1,240
2016Q3,"(u'Closed Won', u'Closed Lost')",1,973
2016Q3,"(u'Negotiation/Review', u'Closed Deferred')",1,68
2016Q3,"(u'Negotiation/Review', u'Closed Lost')",1,100
2016Q3,"(u'Prospect', u'Closed Deferred')",105,10065
2016Q3,"(u'Qualified', u'Closed Deferred')",138,20094
2016Q3,"('Qualified', u'Closed Lost')",8,828
2016Q3,"(u'Short List', u'Closed Deferred')",5,1618
2016Q3,"(u'Short List', u'Closed Lost')",3,490
2016Q4,"(u'Buying Process id.', u'Closed Deferred')",1,8
2016Q4,"(u'Prospect', u'Closed Deferred')",2,192
2016Q4,"(u'Prospect', u'Closed Lost')",1,0
2016Q4,"(u'Qualified', u'Closed Deferred')",3,366
