,OpportunityID,NewValue,OldValue,OldNewStage,Event,FieldEvent,Stage,StageLength,days_in_stage,CreatedDate,from_date,EditYear,EditMonth,ModifiedDate,StageChangeDate,stage_prob,AccountCountry
16,0062000000ZcVUb,Qualified,Prospect,"(u'Prospect', 'Qualified')",stage_change,Stage,Buying Process id.,33 days 11:11:00.000000000,33,2014-09-13 00:00:00,2014-09-13 00:00:00,2014,10,2014-10-16,2016-04-08 00:00:00,20,United States
17,0062000000ZcVUb,Buying Process id.,Qualified,"('Qualified', u'Buying Process id.')",stage_change,Stage,Buying Process id.,249 days 17:21:00.000000000,249,2014-09-13 00:00:00,2014-10-16 00:00:00,2015,6,2015-06-22,2016-04-08 00:00:00,40,United States
18,0062000000ZcVUb,Qualified,Buying Process id.,"(u'Buying Process id.', 'Qualified')",stage_change,Stage,Buying Process id.,78 days 13:14:00.000000000,78,2014-09-13 00:00:00,2015-06-22 00:00:00,2015,9,2015-09-08,2016-04-08 00:00:00,20,United States
19,0062000000ZcVUb,Buying Process id.,Qualified,"(u'Qualified', u'Buying Process id.')",stage_change,Stage,Buying Process id.,213 days 12:23:00.000000000,213,2014-09-13 00:00:00,2015-09-08 00:00:00,2016,4,2016-04-08,2016-04-08 00:00:00,40,United States
20,0062000000XHyEi,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Qualified,0 days 20:31:00.000000000,0,2014-04-27 00:00:00,2014-04-27 00:00:00,2014,4,2014-04-27,,0,United States
21,0062000000XHyEi,Qualified,Prospect,"(u'Prospect', 'Qualified')",stage_change,Stage,Qualified,0 days 20:33:00.000000000,0,2014-04-27 00:00:00,2014-04-27 00:00:00,2014,4,2014-04-27,,20,United States
22,0062000000ddlAW,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Qualified,0 days 20:44:00.000000000,0,2015-05-05 00:00:00,2015-05-05 00:00:00,2015,5,2015-05-05,2015-09-14 00:00:00,0,United States
23,0062000000ddlAW,Qualified,Prospect,"(u'Prospect', 'Qualified')",stage_change,Stage,Qualified,132 days 11:49:00.000000000,132,2015-05-05 00:00:00,2015-05-05 00:00:00,2015,9,2015-09-14,2015-09-14 00:00:00,20,United States
24,0062000000eicJB,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Qualified,0 days 16:39:00.000000000,0,2015-08-14 00:00:00,2015-08-14 00:00:00,2015,8,2015-08-14,2015-11-20 00:00:00,0,United States
25,0062000000eicJB,Qualified,Prospect,"(u'Prospect', u'Qualified')",stage_change,Stage,Qualified,98 days 14:29:00.000000000,98,2015-08-14 00:00:00,2015-08-14 00:00:00,2015,11,2015-11-20,2015-11-20 00:00:00,20,United States
26,0062000000gq021,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Prospect,0 days 14:58:00.000000000,0,2015-12-08 00:00:00,2015-12-08 00:00:00,2015,12,2015-12-08,,0,United States
27,0062000000gqMur,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Qualified,0 days 13:18:00.000000000,0,2015-12-10 00:00:00,2015-12-10 00:00:00,2015,12,2015-12-10,2015-12-16 00:00:00,0,United States
28,0062000000gqMur,Qualified,Prospect,"(u'Prospect', u'Qualified')",stage_change,Stage,Qualified,6 days 16:48:00.000000000,6,2015-12-10 00:00:00,2015-12-10 00:00:00,2015,12,2015-12-16,2015-12-16 00:00:00,20,United States
29,0062000000fWYoa,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Qualified,0 days 13:08:00.000000000,0,2015-10-09 00:00:00,2015-10-09 00:00:00,2015,10,2015-10-09,2016-02-15 00:00:00,0,United States
30,0062000000fWYoa,Buying Process id.,Prospect,"(u'Prospect', u'Buying Process id.')",stage_change,Stage,Qualified,4 days 14:18:00.000000000,4,2015-10-09 00:00:00,2015-10-09 00:00:00,2015,10,2015-10-13,2016-02-15 00:00:00,40,United States
31,0062000000fWYoa,Qualified,Buying Process id.,"(u'Buying Process id.', u'Qualified')",stage_change,Stage,Qualified,125 days 18:15:00.000000000,125,2015-10-09 00:00:00,2015-10-13 00:00:00,2016,2,2016-02-15,2016-02-15 00:00:00,20,United States
32,0062000000hEAhs,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Closed Deferred,0 days 17:05:00.000000000,0,2016-01-08 00:00:00,2016-01-08 00:00:00,2016,1,2016-01-08,2016-04-28 00:00:00,0,United States
33,0062000000hEAhs,Re-Qualify,Prospect,"(u'Prospect', u'Re-Qualify')",stage_change,Stage,Closed Deferred,42 days 11:42:00.000000000,42,2016-01-08 00:00:00,2016-01-08 00:00:00,2016,2,2016-02-19,2016-04-28 00:00:00,0,United States
34,0062000000hEAhs,Closed Deferred,Re-Qualify,"(u'Re-Qualify', u'Closed Deferred')",stage_change,Stage,Closed Deferred,69 days 11:16:00.000000000,69,2016-01-08 00:00:00,2016-02-19 00:00:00,2016,4,2016-04-28,2016-04-28 00:00:00,0,United States
35,0062000000eDPV1,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Qualified,0 days 19:17:00.000000000,0,2015-06-25 00:00:00,2015-06-25 00:00:00,2015,6,2015-06-25,2016-04-27 00:00:00,0,United States
36,0062000000eDPV1,Buying Process id.,Prospect,"(u'Prospect', u'Buying Process id.')",stage_change,Stage,Qualified,75 days 13:16:00.000000000,75,2015-06-25 00:00:00,2015-06-25 00:00:00,2015,9,2015-09-08,2016-04-27 00:00:00,40,United States
37,0062000000eDPV1,Qualified,Buying Process id.,"(u'Buying Process id.', u'Qualified')",stage_change,Stage,Qualified,232 days 14:17:00.000000000,232,2015-06-25 00:00:00,2015-09-08 00:00:00,2016,4,2016-04-27,2016-04-27 00:00:00,20,United States
38,0062000000fBNqh,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Closed Lost,0 days 12:43:00.000000000,0,2015-09-11 00:00:00,2015-09-11 00:00:00,2015,9,2015-09-11,2015-12-16 00:00:00,0,United States
39,0062000000fBNqh,Buying Process id.,Prospect,"(u'Prospect', u'Buying Process id.')",stage_change,Stage,Closed Lost,74 days 10:39:00.000000000,74,2015-09-11 00:00:00,2015-09-11 00:00:00,2015,11,2015-11-24,2015-12-16 00:00:00,40,United States
40,0062000000fBNqh,Closed Lost,Buying Process id.,"(u'Buying Process id.', u'Closed Lost')",stage_change,Stage,Closed Lost,22 days 10:40:00.000000000,22,2015-09-11 00:00:00,2015-11-24 00:00:00,2015,12,2015-12-16,2015-12-16 00:00:00,0,United States
41,0062000000ZcVVP,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Qualified,0 days 14:08:00.000000000,0,2014-09-13 00:00:00,2014-09-13 00:00:00,2014,9,2014-09-13,,0,United States
42,0062000000ZcVVP,Qualified,Prospect,"(u'Prospect', 'Qualified')",stage_change,Stage,Qualified,33 days 11:04:00.000000000,33,2014-09-13 00:00:00,2014-09-13 00:00:00,2014,10,2014-10-16,,20,United States
43,0062000000deVjW,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Closed Deferred,0 days 14:18:00.000000000,0,2015-05-11 00:00:00,2015-05-11 00:00:00,2015,5,2015-05-11,2016-02-05 00:00:00,0,United States
44,0062000000deVjW,Closed Deferred,Prospect,"(u'Prospect', u'Closed Deferred')",stage_change,Stage,Closed Deferred,120 days 13:35:00.000000000,120,2015-05-11 00:00:00,2015-05-11 00:00:00,2015,9,2015-09-08,2016-02-05 00:00:00,0,United States
45,0062000000deVjW,Qualified,Closed Deferred,"(u'Closed Deferred', 'Qualified')",stage_change,Stage,Closed Deferred,2 days 16:18:00.000000000,2,2015-05-11 00:00:00,2015-09-08 00:00:00,2015,9,2015-09-10,2016-02-05 00:00:00,20,United States
46,0062000000deVjW,Closed Deferred,Qualified,"(u'Qualified', u'Closed Deferred')",stage_change,Stage,Closed Deferred,148 days 14:09:00.000000000,148,2015-05-11 00:00:00,2015-09-10 00:00:00,2016,2,2016-02-05,2016-02-05 00:00:00,0,United States
47,0062000000dfehB,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Closed Deferred,0 days 16:43:00.000000000,0,2015-05-20 00:00:00,2015-05-20 00:00:00,2015,5,2015-05-20,2016-04-28 00:00:00,0,United States
48,0062000000dfehB,Re-Qualify,Prospect,"(u'Prospect', u'Re-Qualify')",stage_change,Stage,Closed Deferred,275 days 10:32:00.000000000,275,2015-05-20 00:00:00,2015-05-20 00:00:00,2016,2,2016-02-19,2016-04-28 00:00:00,0,United States
49,0062000000dfehB,Closed Deferred,Re-Qualify,"(u'Re-Qualify', u'Closed Deferred')",stage_change,Stage,Closed Deferred,69 days 09:28:00.000000000,69,2015-05-20 00:00:00,2016-02-19 00:00:00,2016,4,2016-04-28,2016-04-28 00:00:00,0,United States
50,0062000000grup2,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Qualified,0 days 13:20:00.000000000,0,2015-12-23 00:00:00,2015-12-23 00:00:00,2015,12,2015-12-23,2016-01-08 00:00:00,0,United States
51,0062000000grup2,Qualified,Prospect,"(u'Prospect', u'Qualified')",stage_change,Stage,Qualified,16 days 10:35:00.000000000,16,2015-12-23 00:00:00,2015-12-23 00:00:00,2016,1,2016-01-08,2016-01-08 00:00:00,20,United States
52,0062000000Pp0iS,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Closed Deferred,0 days 09:37:00.000000000,0,2012-10-18 00:00:00,2012-10-18 00:00:00,2012,10,2012-10-18,2016-01-20 00:00:00,0,United States
53,0062000000Pp0iS,Buying Process id.,Prospect,"(u'Prospect', u'Buying Process id.')",stage_change,Stage,Closed Deferred,0 days 09:37:00.000000000,0,2012-10-18 00:00:00,2012-10-18 00:00:00,2012,10,2012-10-18,2016-01-20 00:00:00,40,United States
54,0062000000Pp0iS,Closed Deferred,Buying Process id.,"(u'Buying Process id.', u'Closed Deferred')",stage_change,Stage,Closed Deferred,1189 days 16:55:00.000000000,1189,2012-10-18 00:00:00,2012-10-18 00:00:00,2016,1,2016-01-20,2016-01-20 00:00:00,0,United States
55,0062000000hg5Cl,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Qualified,0 days 16:23:00.000000000,0,2016-02-24 00:00:00,2016-02-24 00:00:00,2016,2,2016-02-24,2016-04-01 00:00:00,0,United States
56,0062000000hg5Cl,Qualified,Prospect,"(u'Prospect', u'Qualified')",stage_change,Stage,Qualified,8 days 12:57:00.000000000,8,2016-02-24 00:00:00,2016-02-24 00:00:00,2016,3,2016-03-03,2016-04-01 00:00:00,20,United States
57,0062000000hg5Cl,Re-Qualify,Qualified,"(u'Qualified', u'Re-Qualify')",stage_change,Stage,Qualified,26 days 10:32:00.000000000,26,2016-02-24 00:00:00,2016-03-03 00:00:00,2016,3,2016-03-29,2016-04-01 00:00:00,0,United States
58,0062000000hg5Cl,Qualified,Re-Qualify,"(u'Re-Qualify', u'Qualified')",stage_change,Stage,Qualified,3 days 13:55:00.000000000,3,2016-02-24 00:00:00,2016-03-29 00:00:00,2016,4,2016-04-01,2016-04-01 00:00:00,20,United States
59,0062000000hfD43,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Prospect,0 days 17:19:00.000000000,0,2016-02-18 00:00:00,2016-02-18 00:00:00,2016,2,2016-02-18,,0,United States
60,0062000000gscum,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Closed Deferred,0 days 10:06:00.000000000,0,2016-01-05 00:00:00,2016-01-05 00:00:00,2016,1,2016-01-05,2016-05-05 00:00:00,0,United Kingdom
61,0062000000gscum,Qualified,Prospect,"(u'Prospect', u'Qualified')",stage_change,Stage,Closed Deferred,13 days 12:48:00.000000000,13,2016-01-05 00:00:00,2016-01-05 00:00:00,2016,1,2016-01-18,2016-05-05 00:00:00,20,United Kingdom
62,0062000000gscum,Buying Process id.,Qualified,"(u'Qualified', u'Buying Process id.')",stage_change,Stage,Closed Deferred,4 days 08:30:00.000000000,4,2016-01-05 00:00:00,2016-01-18 00:00:00,2016,1,2016-01-22,2016-05-05 00:00:00,40,United Kingdom
63,0062000000gscum,Closed Deferred,Buying Process id.,"(u'Buying Process id.', u'Closed Deferred')",stage_change,Stage,Closed Deferred,104 days 08:03:00.000000000,104,2016-01-05 00:00:00,2016-01-22 00:00:00,2016,5,2016-05-05,2016-05-05 00:00:00,0,United Kingdom
64,0062000000hgHSi,Created,Created,"('Created', 'Created')",opp_created,Created.,Closed Deferred,0 days 14:41:00.000000000,0,2016-02-25 00:00:00,2016-02-25 00:00:00,2016,2,2016-02-25,2016-04-25 00:00:00,0,United States
65,0062000000hgHSi,Re-Qualify,Qualified,"(u'Qualified', u'Re-Qualify')",stage_change,Stage,Closed Deferred,39 days 12:07:00.000000000,39,2016-02-25 00:00:00,2016-02-25 00:00:00,2016,4,2016-04-04,2016-04-25 00:00:00,0,United States
66,0062000000hgHSi,Closed Deferred,Re-Qualify,"(u'Re-Qualify', u'Closed Deferred')",stage_change,Stage,Closed Deferred,21 days 22:13:00.000000000,21,2016-02-25 00:00:00,2016-04-04 00:00:00,2016,4,2016-04-25,2016-04-25 00:00:00,0,United States
67,0062000000f9AMd,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Closed Deferred,0 days 15:17:00.000000000,0,2015-08-25 00:00:00,2015-08-25 00:00:00,2015,8,2015-08-25,2016-03-25 00:00:00,0,United States
68,0062000000f9AMd,Qualified,Prospect,"(u'Prospect', 'Qualified')",stage_change,Stage,Closed Deferred,20 days 13:19:00.000000000,20,2015-08-25 00:00:00,2015-08-25 00:00:00,2015,9,2015-09-14,2016-03-25 00:00:00,20,United States
69,0062000000f9AMd,Buying Process id.,Qualified,"(u'Qualified', u'Buying Process id.')",stage_change,Stage,Closed Deferred,29 days 10:53:00.000000000,29,2015-08-25 00:00:00,2015-09-14 00:00:00,2015,10,2015-10-13,2016-03-25 00:00:00,40,United States
70,0062000000f9AMd,Closed Deferred,Buying Process id.,"(u'Buying Process id.', u'Closed Deferred')",stage_change,Stage,Closed Deferred,99 days 10:15:00.000000000,99,2015-08-25 00:00:00,2015-10-13 00:00:00,2016,1,2016-01-20,2016-03-25 00:00:00,0,United States
71,0062000000f9AMd,Qualified,Closed Deferred,"(u'Closed Deferred', u'Qualified')",stage_change,Stage,Closed Deferred,0 days 10:16:00.000000000,0,2015-08-25 00:00:00,2016-01-20 00:00:00,2016,1,2016-01-20,2016-03-25 00:00:00,20,United States
72,0062000000f9AMd,Closed Deferred,Qualified,"(u'Qualified', u'Closed Deferred')",stage_change,Stage,Closed Deferred,65 days 12:24:00.000000000,65,2015-08-25 00:00:00,2016-01-20 00:00:00,2016,3,2016-03-25,2016-03-25 00:00:00,0,United States
73,0062000000ETuzK,Buying Process id.,Id. Decision Makers,"(u'Id. Decision Makers', u'Buying Process id.')",stage_change,Stage,Closed Deferred,0 days 05:54:00.000000000,0,2010-07-28 00:00:00,2011-02-22 00:00:00,2011,2,2011-02-22,,40,United States
74,0062000000ETuzK,Qualified,Buying Process id.,"(u'Buying Process id.', 'Qualified')",stage_change,Stage,Closed Deferred,0 days 12:39:00.000000000,0,2010-07-28 00:00:00,2011-04-28 00:00:00,2011,4,2011-04-28,,20,United States
75,0062000000ETuzK,Closed Deferred,Qualified,"('Qualified', u'Closed Deferred')",stage_change,Stage,Closed Deferred,0 days 05:19:00.000000000,0,2010-07-28 00:00:00,2011-06-14 00:00:00,2011,6,2011-06-14,,0,United States
76,0062000000WVOzc,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Closed Deferred,0 days 10:43:00.000000000,0,2014-03-10 00:00:00,2014-03-10 00:00:00,2014,3,2014-03-10,2016-04-28 00:00:00,0,United States
77,0062000000WVOzc,Buying Process id.,Prospect,"(u'Prospect', u'Buying Process id.')",stage_change,Stage,Closed Deferred,0 days 10:44:00.000000000,0,2014-03-10 00:00:00,2014-03-10 00:00:00,2014,3,2014-03-10,2016-04-28 00:00:00,40,United States
78,0062000000WVOzc,Qualified,Buying Process id.,"(u'Buying Process id.', 'Qualified')",stage_change,Stage,Closed Deferred,102 days 08:34:00.000000000,102,2014-03-10 00:00:00,2014-03-10 00:00:00,2014,6,2014-06-20,2016-04-28 00:00:00,20,United States
80,0062000000WVOzc,Re-Qualify,Short List,"(u'Short List', u'Re-Qualify')",stage_change,Stage,Closed Deferred,297 days 17:51:00.000000000,297,2014-03-10 00:00:00,2015-04-24 00:00:00,2016,2,2016-02-15,2016-04-28 00:00:00,0,United States
81,0062000000WVOzc,Closed Deferred,Re-Qualify,"(u'Re-Qualify', u'Closed Deferred')",stage_change,Stage,Closed Deferred,64 days 12:31:00.000000000,64,2014-03-10 00:00:00,2016-02-15 00:00:00,2016,4,2016-04-19,2016-04-28 00:00:00,0,United States
82,0062000000WVOzc,Re-Qualify,Closed Deferred,"(u'Closed Deferred', u'Re-Qualify')",stage_change,Stage,Closed Deferred,0 days 12:32:00.000000000,0,2014-03-10 00:00:00,2016-04-19 00:00:00,2016,4,2016-04-19,2016-04-28 00:00:00,0,United States
83,0062000000WVOzc,Closed Deferred,Re-Qualify,"(u'Re-Qualify', u'Closed Deferred')",stage_change,Stage,Closed Deferred,9 days 09:23:00.000000000,9,2014-03-10 00:00:00,2016-04-19 00:00:00,2016,4,2016-04-28,2016-04-28 00:00:00,0,United States
84,0062000000c3Naz,Created,Created,"('Created', 'Created')",opp_created,Created.,Closed Won,0 days 15:28:00.000000000,0,2015-02-12 00:00:00,2015-02-12 00:00:00,2015,2,2015-02-12,,0,United States
85,0062000000c3Naz,Buying Process id.,Prospect,"(u'Prospect', u'Buying Process id.')",stage_change,Stage,Closed Won,54 days 14:50:00.000000000,54,2015-02-12 00:00:00,2015-02-12 00:00:00,2015,4,2015-04-07,,40,United States
86,0062000000c3Naz,Short List,Buying Process id.,"(u'Buying Process id.', u'Short List')",stage_change,Stage,Closed Won,17 days 11:24:00.000000000,17,2015-02-12 00:00:00,2015-04-07 00:00:00,2015,4,2015-04-24,,50,United States
89,0062000000hzn9Y,Created,Created,"('Created', 'Created')",opp_created,Created.,Prospect,0 days 12:13:00.000000000,0,2016-03-23 00:00:00,2016-03-23 00:00:00,2016,3,2016-03-23,,0,United States
90,0062000000gpZUg,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Closed Deferred,0 days 10:40:00.000000000,0,2015-12-04 00:00:00,2015-12-04 00:00:00,2015,12,2015-12-04,2016-04-28 00:00:00,0,United States
91,0062000000gpZUg,Re-Qualify,Prospect,"(u'Prospect', u'Re-Qualify')",stage_change,Stage,Closed Deferred,77 days 11:45:00.000000000,77,2015-12-04 00:00:00,2015-12-04 00:00:00,2016,2,2016-02-19,2016-04-28 00:00:00,0,United States
92,0062000000i1F8v,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Closed Deferred,0 days 09:46:00.000000000,0,2016-04-12 00:00:00,2016-04-12 00:00:00,2016,4,2016-04-12,2016-05-10 00:00:00,0,United States
93,0062000000gpZUg,Closed Deferred,Re-Qualify,"(u'Re-Qualify', u'Closed Deferred')",stage_change,Stage,Closed Deferred,69 days 10:56:00.000000000,69,2015-12-04 00:00:00,2016-02-19 00:00:00,2016,4,2016-04-28,2016-04-28 00:00:00,0,United States
94,0062000000i1F8v,Closed Deferred,Prospect,"(u'Prospect', u'Closed Deferred')",stage_change,Stage,Closed Deferred,28 days 14:12:00.000000000,28,2016-04-12 00:00:00,2016-04-12 00:00:00,2016,5,2016-05-10,2016-05-10 00:00:00,0,United States
95,0062000000fvWvh,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Prospect,0 days 11:37:00.000000000,0,2015-11-24 00:00:00,2015-11-24 00:00:00,2015,11,2015-11-24,,0,United Kingdom
96,0062000000eEnVH,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Closed Deferred,0 days 15:47:00.000000000,0,2015-07-07 00:00:00,2015-07-07 00:00:00,2015,7,2015-07-07,2016-02-10 00:00:00,0,United States
97,0062000000eEnVH,Closed Deferred,Prospect,"(u'Prospect', u'Closed Deferred')",stage_change,Stage,Closed Deferred,218 days 10:49:00.000000000,218,2015-07-07 00:00:00,2015-07-07 00:00:00,2016,2,2016-02-10,2016-02-10 00:00:00,0,United States
98,0062000000fs22H,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Closed Deferred,0 days 12:29:00.000000000,0,2015-10-13 00:00:00,2015-10-13 00:00:00,2015,10,2015-10-13,2015-12-21 00:00:00,0,Netherlands
99,0062000000fs22H,Qualified,Prospect,"(u'Prospect', u'Qualified')",stage_change,Stage,Closed Deferred,69 days 09:22:00.000000000,69,2015-10-13 00:00:00,2015-10-13 00:00:00,2015,12,2015-12-21,2015-12-21 00:00:00,20,Netherlands
100,0062000000fs22H,Closed Deferred,Qualified,"(u'Qualified', u'Closed Deferred')",stage_change,Stage,Closed Deferred,0 days 12:03:00.000000000,0,2015-10-13 00:00:00,2015-12-21 00:00:00,2015,12,2015-12-21,2015-12-21 00:00:00,0,Netherlands
101,0062000000Wjvtp,Created,Created,"('Created', 'Created')",opp_created,Created.,Qualified,0 days 03:50:00.000000000,0,2014-03-24 00:00:00,2014-03-24 00:00:00,2014,3,2014-03-24,2015-11-27 00:00:00,0,Netherlands
102,0062000000Wjvtp,Qualified,Prospect,"(u'Prospect', 'Qualified')",stage_change,Stage,Qualified,30 days 22:05:00.000000000,30,2014-03-24 00:00:00,2014-03-24 00:00:00,2014,4,2014-04-23,2015-11-27 00:00:00,20,Netherlands
103,0062000000Wjvtp,Buying Process id.,Qualified,"('Qualified', u'Buying Process id.')",stage_change,Stage,Qualified,15 days 11:43:00.000000000,15,2014-03-24 00:00:00,2014-04-23 00:00:00,2014,5,2014-05-08,2015-11-27 00:00:00,40,Netherlands
104,0062000000Wjvtp,Qualified,Buying Process id.,"(u'Buying Process id.', u'Qualified')",stage_change,Stage,Qualified,568 days 09:27:00.000000000,568,2014-03-24 00:00:00,2014-05-08 00:00:00,2015,11,2015-11-27,2015-11-27 00:00:00,20,Netherlands
105,0062000000WkPXn,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Closed Deferred,0 days 08:56:00.000000000,0,2014-03-26 00:00:00,2014-03-26 00:00:00,2014,3,2014-03-26,,0,United States
106,0062000000WkPXn,Qualified,Prospect,"(u'Prospect', 'Qualified')",stage_change,Stage,Closed Deferred,204 days 10:52:00.000000000,204,2014-03-26 00:00:00,2014-03-26 00:00:00,2014,10,2014-10-16,,20,United States
107,0062000000WkPXn,Closed Deferred,Qualified,"('Qualified', u'Closed Deferred')",stage_change,Stage,Closed Deferred,14 days 13:49:00.000000000,14,2014-03-26 00:00:00,2014-10-16 00:00:00,2014,10,2014-10-30,,0,United States
108,0062000000c45MT,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Closed Deferred,0 days 10:33:00.000000000,0,2015-02-18 00:00:00,2015-02-18 00:00:00,2015,2,2015-02-18,,0,United States
109,0062000000c45MT,Closed Deferred,Prospect,"(u'Prospect', u'Closed Deferred')",stage_change,Stage,Closed Deferred,100 days 05:27:00.000000000,100,2015-02-18 00:00:00,2015-02-18 00:00:00,2015,5,2015-05-29,,0,United States
110,0062000000gDekX,Created,Created,"('Created', 'Created')",opp_created,Created by lead convert,Closed Deferred,0 days 15:19:00.000000000,0,2015-11-09 00:00:00,2015-11-09 00:00:00,2015,11,2015-11-09,2016-04-28 00:00:00,0,United States
111,0062000000gDekX,Re-Qualify,Prospect,"(u'Prospect', u'Re-Qualify')",stage_change,Stage,Closed Deferred,86 days 12:34:00.000000000,86,2015-11-09 00:00:00,2015-11-09 00:00:00,2016,2,2016-02-03,2016-04-28 00:00:00,0,United States
