OpportunityID,Event,FieldEvent,OldValue,NewValue,Stage,Probability,StageLength,days_in_stage,CreatedDate,ModifiedDate,from_date,EditDate,EditYear,EditMonth,StageChangeDate,AccountCountry,StageDuration,Age,OldNewStage
0062000000ZcVUb,stage_change,Stage,Qualified,Buying Process id.,Buying Process id.,40,213 days 12:23:00.000000000,213,9/13/14 0:00,4/8/16 0:00,9/8/15 0:00,4/8/16 12:23,2016,4,4/8/16 0:00,United States,66,639,"(Qualified, Buying Process id.)"
0062000000XHyEi,opp_created,Created by lead convert,Created,Created,Qualified,20,0 days 20:31:00.000000000,0,4/27/14 0:00,4/27/14 0:00,4/27/14 0:00,4/27/14 20:31,2014,4,,United States,777,777,"(Created, Created)"
0062000000XHyEi,stage_change,Stage,Prospect,Qualified,Qualified,20,0 days 20:33:00.000000000,0,4/27/14 0:00,4/27/14 0:00,4/27/14 0:00,4/27/14 20:33,2014,4,,United States,777,777,"(Prospect, Qualified)"
0062000000ddlAW,opp_created,Created by lead convert,Created,Created,Qualified,20,0 days 20:44:00.000000000,0,5/5/15 0:00,5/5/15 0:00,5/5/15 0:00,5/5/15 20:44,2015,5,9/14/15 0:00,United States,273,404,"(Created, Created)"
0062000000ddlAW,stage_change,Stage,Prospect,Qualified,Qualified,20,132 days 11:49:00.000000000,132,5/5/15 0:00,9/14/15 0:00,5/5/15 0:00,9/14/15 11:49,2015,9,9/14/15 0:00,United States,273,404,"(Prospect, Qualified)"
0062000000eicJB,opp_created,Created by lead convert,Created,Created,Qualified,20,0 days 16:39:00.000000000,0,8/14/15 0:00,8/14/15 0:00,8/14/15 0:00,8/14/15 16:39,2015,8,11/20/15 0:00,United States,206,304,"(Created, Created)"
0062000000eicJB,stage_change,Stage,Prospect,Qualified,Qualified,20,98 days 14:29:00.000000000,98,8/14/15 0:00,11/20/15 0:00,8/14/15 0:00,11/20/15 14:29,2015,11,11/20/15 0:00,United States,206,304,"(Prospect, Qualified)"
0062000000eicJB,stage_change,SDR Created By,Created,Phil Arbeiter,Qualified,20,229 days 14:54:00.000000000,229,8/14/15 0:00,3/30/16 0:00,8/14/15 0:00,3/30/16 14:54,2016,3,11/20/15 0:00,United States,206,304,"(Created, Phil Arbeiter)"
0062000000gq021,opp_created,Created by lead convert,Created,Created,Prospect,10,0 days 14:58:00.000000000,0,12/8/15 0:00,12/8/15 0:00,12/8/15 0:00,12/8/15 14:58,2015,12,,United States,188,188,"(Created, Created)"
0062000000gqMur,opp_created,Created by lead convert,Created,Created,Qualified,20,0 days 13:18:00.000000000,0,12/10/15 0:00,12/10/15 0:00,12/10/15 0:00,12/10/15 13:18,2015,12,12/16/15 0:00,United States,180,186,"(Created, Created)"
0062000000gqMur,stage_change,Stage,Prospect,Qualified,Qualified,20,6 days 16:48:00.000000000,6,12/10/15 0:00,12/16/15 0:00,12/10/15 0:00,12/16/15 16:48,2015,12,12/16/15 0:00,United States,180,186,"(Prospect, Qualified)"
0062000000gqMur,stage_change,SDR Created By,Created,Doug Molumby,Qualified,20,70 days 18:33:00.000000000,70,12/10/15 0:00,2/18/16 0:00,12/10/15 0:00,2/18/16 18:33,2016,2,12/16/15 0:00,United States,180,186,"(Created, Doug Molumby)"
0062000000fWYoa,opp_created,Created by lead convert,Created,Created,Qualified,20,0 days 13:08:00.000000000,0,10/9/15 0:00,10/9/15 0:00,10/9/15 0:00,10/9/15 13:08,2015,10,2/15/16 0:00,United States,118,248,"(Created, Created)"
0062000000fWYoa,stage_change,Stage,Prospect,Buying Process id.,Qualified,20,4 days 14:18:00.000000000,4,10/9/15 0:00,10/13/15 0:00,10/9/15 0:00,10/13/15 14:18,2015,10,2/15/16 0:00,United States,118,248,"(Prospect, Buying Process id.)"
0062000000fWYoa,stage_change,Stage,Buying Process id.,Qualified,Qualified,20,125 days 18:15:00.000000000,125,10/9/15 0:00,2/15/16 0:00,10/13/15 0:00,2/15/16 18:15,2016,2,2/15/16 0:00,United States,118,248,"(Buying Process id., Qualified)"
0062000000hEAhs,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 17:05:00.000000000,0,1/8/16 0:00,1/8/16 0:00,1/8/16 0:00,1/8/16 17:05,2016,1,4/28/16 0:00,United States,46,111,"(Created, Created)"
0062000000hEAhs,stage_change,Stage,Prospect,Re-Qualify,Closed Deferred,0,42 days 11:42:00.000000000,42,1/8/16 0:00,2/19/16 0:00,1/8/16 0:00,2/19/16 11:42,2016,2,4/28/16 0:00,United States,46,111,"(Prospect, Re-Qualify)"
0062000000hEAhs,stage_change,Stage,Re-Qualify,Closed Deferred,Closed Deferred,0,69 days 11:16:00.000000000,69,1/8/16 0:00,4/28/16 0:00,2/19/16 0:00,4/28/16 11:16,2016,4,4/28/16 0:00,United States,46,111,"(Re-Qualify, Closed Deferred)"
0062000000eDPV1,opp_created,Created by lead convert,Created,Created,Qualified,20,0 days 19:17:00.000000000,0,6/25/15 0:00,6/25/15 0:00,6/25/15 0:00,6/25/15 19:17,2015,6,4/27/16 0:00,United States,47,353,"(Created, Created)"
0062000000eDPV1,stage_change,Stage,Prospect,Buying Process id.,Qualified,20,75 days 13:16:00.000000000,75,6/25/15 0:00,9/8/15 0:00,6/25/15 0:00,9/8/15 13:16,2015,9,4/27/16 0:00,United States,47,353,"(Prospect, Buying Process id.)"
0062000000eDPV1,stage_change,Stage,Buying Process id.,Qualified,Qualified,20,232 days 14:17:00.000000000,232,6/25/15 0:00,4/27/16 0:00,9/8/15 0:00,4/27/16 14:17,2016,4,4/27/16 0:00,United States,47,353,"(Buying Process id., Qualified)"
0062000000fBNqh,opp_created,Created by lead convert,Created,Created,Closed Lost,0,0 days 12:43:00.000000000,0,9/11/15 0:00,9/11/15 0:00,9/11/15 0:00,9/11/15 12:43,2015,9,12/16/15 0:00,United States,180,96,"(Created, Created)"
0062000000fBNqh,stage_change,Stage,Prospect,Buying Process id.,Closed Lost,0,74 days 10:39:00.000000000,74,9/11/15 0:00,11/24/15 0:00,9/11/15 0:00,11/24/15 10:39,2015,11,12/16/15 0:00,United States,180,96,"(Prospect, Buying Process id.)"
0062000000fBNqh,stage_change,Stage,Buying Process id.,Closed Lost,Closed Lost,0,22 days 10:40:00.000000000,22,9/11/15 0:00,12/16/15 0:00,11/24/15 0:00,12/16/15 10:40,2015,12,12/16/15 0:00,United States,180,96,"(Buying Process id., Closed Lost)"
0062000000ZcVVP,opp_created,Created by lead convert,Created,Created,Qualified,20,0 days 14:08:00.000000000,0,9/13/14 0:00,9/13/14 0:00,9/13/14 0:00,9/13/14 14:08,2014,9,,United States,606,639,"(Created, Created)"
0062000000ZcVVP,stage_change,Stage,Prospect,Qualified,Qualified,20,33 days 11:04:00.000000000,33,9/13/14 0:00,10/16/14 0:00,9/13/14 0:00,10/16/14 11:04,2014,10,,United States,606,639,"(Prospect, Qualified)"
0062000000deVjW,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 14:18:00.000000000,0,5/11/15 0:00,5/11/15 0:00,5/11/15 0:00,5/11/15 14:18,2015,5,2/5/16 0:00,United States,129,270,"(Created, Created)"
0062000000deVjW,stage_change,Stage,Prospect,Closed Deferred,Closed Deferred,0,120 days 13:35:00.000000000,120,5/11/15 0:00,9/8/15 0:00,5/11/15 0:00,9/8/15 13:35,2015,9,2/5/16 0:00,United States,129,270,"(Prospect, Closed Deferred)"
0062000000deVjW,stage_change,Stage,Closed Deferred,Qualified,Closed Deferred,0,2 days 16:18:00.000000000,2,5/11/15 0:00,9/10/15 0:00,9/8/15 0:00,9/10/15 16:18,2015,9,2/5/16 0:00,United States,129,270,"(Closed Deferred, Qualified)"
0062000000deVjW,stage_change,Stage,Qualified,Closed Deferred,Closed Deferred,0,148 days 14:09:00.000000000,148,5/11/15 0:00,2/5/16 0:00,9/10/15 0:00,2/5/16 14:09,2016,2,2/5/16 0:00,United States,129,270,"(Qualified, Closed Deferred)"
0062000000dfehB,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 16:43:00.000000000,0,5/20/15 0:00,5/20/15 0:00,5/20/15 0:00,5/20/15 16:43,2015,5,4/28/16 0:00,United States,46,344,"(Created, Created)"
0062000000dfehB,stage_change,Stage,Prospect,Re-Qualify,Closed Deferred,0,275 days 10:32:00.000000000,275,5/20/15 0:00,2/19/16 0:00,5/20/15 0:00,2/19/16 10:32,2016,2,4/28/16 0:00,United States,46,344,"(Prospect, Re-Qualify)"
0062000000dfehB,stage_change,Stage,Re-Qualify,Closed Deferred,Closed Deferred,0,69 days 09:28:00.000000000,69,5/20/15 0:00,4/28/16 0:00,2/19/16 0:00,4/28/16 9:28,2016,4,4/28/16 0:00,United States,46,344,"(Re-Qualify, Closed Deferred)"
0062000000grup2,opp_created,Created by lead convert,Created,Created,Qualified,20,0 days 13:20:00.000000000,0,12/23/15 0:00,12/23/15 0:00,12/23/15 0:00,12/23/15 13:20,2015,12,1/8/16 0:00,United States,157,173,"(Created, Created)"
0062000000grup2,stage_change,Stage,Prospect,Qualified,Qualified,20,16 days 10:35:00.000000000,16,12/23/15 0:00,1/8/16 0:00,12/23/15 0:00,1/8/16 10:35,2016,1,1/8/16 0:00,United States,157,173,"(Prospect, Qualified)"
0062000000Pp0iS,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 09:37:00.000000000,0,10/18/12 0:00,10/18/12 0:00,10/18/12 0:00,10/18/12 9:37,2012,10,1/20/16 0:00,United States,145,1189,"(Created, Created)"
0062000000Pp0iS,stage_change,Stage,Prospect,Buying Process id.,Closed Deferred,0,0 days 09:37:00.000000000,0,10/18/12 0:00,10/18/12 0:00,10/18/12 0:00,10/18/12 9:37,2012,10,1/20/16 0:00,United States,145,1189,"(Prospect, Buying Process id.)"
0062000000Pp0iS,stage_change,Stage,Buying Process id.,Closed Deferred,Closed Deferred,0,1189 days 16:55:00.000000000,1189,10/18/12 0:00,1/20/16 0:00,10/18/12 0:00,1/20/16 16:55,2016,1,1/20/16 0:00,United States,145,1189,"(Buying Process id., Closed Deferred)"
0062000000hg5Cl,opp_created,Created by lead convert,Created,Created,Qualified,20,0 days 16:23:00.000000000,0,2/24/16 0:00,2/24/16 0:00,2/24/16 0:00,2/24/16 16:23,2016,2,4/1/16 0:00,United States,73,110,"(Created, Created)"
0062000000hg5Cl,stage_change,Stage,Prospect,Qualified,Qualified,20,8 days 12:57:00.000000000,8,2/24/16 0:00,3/3/16 0:00,2/24/16 0:00,3/3/16 12:57,2016,3,4/1/16 0:00,United States,73,110,"(Prospect, Qualified)"
0062000000hg5Cl,stage_change,Stage,Qualified,Re-Qualify,Qualified,20,26 days 10:32:00.000000000,26,2/24/16 0:00,3/29/16 0:00,3/3/16 0:00,3/29/16 10:32,2016,3,4/1/16 0:00,United States,73,110,"(Qualified, Re-Qualify)"
0062000000hg5Cl,stage_change,Stage,Re-Qualify,Qualified,Qualified,20,3 days 13:55:00.000000000,3,2/24/16 0:00,4/1/16 0:00,3/29/16 0:00,4/1/16 13:55,2016,4,4/1/16 0:00,United States,73,110,"(Re-Qualify, Qualified)"
0062000000hfD43,opp_created,Created by lead convert,Created,Created,Prospect,10,0 days 17:19:00.000000000,0,2/18/16 0:00,2/18/16 0:00,2/18/16 0:00,2/18/16 17:19,2016,2,,United States,116,116,"(Created, Created)"
0062000000gscum,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 10:06:00.000000000,0,1/5/16 0:00,1/5/16 0:00,1/5/16 0:00,1/5/16 10:06,2016,1,5/5/16 0:00,United Kingdom,39,121,"(Created, Created)"
0062000000gscum,stage_change,Stage,Prospect,Qualified,Closed Deferred,0,13 days 12:48:00.000000000,13,1/5/16 0:00,1/18/16 0:00,1/5/16 0:00,1/18/16 12:48,2016,1,5/5/16 0:00,United Kingdom,39,121,"(Prospect, Qualified)"
0062000000gscum,stage_change,Stage,Qualified,Buying Process id.,Closed Deferred,0,4 days 08:30:00.000000000,4,1/5/16 0:00,1/22/16 0:00,1/18/16 0:00,1/22/16 8:30,2016,1,5/5/16 0:00,United Kingdom,39,121,"(Qualified, Buying Process id.)"
0062000000gscum,stage_change,SDR Created By,Created,Tony Fitzgerald,Closed Deferred,0,44 days 18:04:00.000000000,44,1/5/16 0:00,2/18/16 0:00,1/5/16 0:00,2/18/16 18:04,2016,2,5/5/16 0:00,United Kingdom,39,121,"(Created, Tony Fitzgerald)"
0062000000gscum,stage_change,Stage,Buying Process id.,Closed Deferred,Closed Deferred,0,104 days 08:03:00.000000000,104,1/5/16 0:00,5/5/16 0:00,1/22/16 0:00,5/5/16 8:03,2016,5,5/5/16 0:00,United Kingdom,39,121,"(Buying Process id., Closed Deferred)"
0062000000hgHSi,opp_created,Created.,Created,Created,Closed Deferred,0,0 days 14:41:00.000000000,0,2/25/16 0:00,2/25/16 0:00,2/25/16 0:00,2/25/16 14:41,2016,2,4/25/16 0:00,United States,48,61,"(Created, Created)"
0062000000hgHSi,stage_change,Stage,Qualified,Re-Qualify,Closed Deferred,0,39 days 12:07:00.000000000,39,2/25/16 0:00,4/4/16 0:00,2/25/16 0:00,4/4/16 12:07,2016,4,4/25/16 0:00,United States,48,61,"(Qualified, Re-Qualify)"
0062000000hgHSi,stage_change,Stage,Re-Qualify,Closed Deferred,Closed Deferred,0,21 days 22:13:00.000000000,21,2/25/16 0:00,4/25/16 0:00,4/4/16 0:00,4/25/16 22:13,2016,4,4/25/16 0:00,United States,48,61,"(Re-Qualify, Closed Deferred)"
0062000000f9AMd,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 15:17:00.000000000,0,8/25/15 0:00,8/25/15 0:00,8/25/15 0:00,8/25/15 15:17,2015,8,3/25/16 0:00,United States,80,213,"(Created, Created)"
0062000000f9AMd,stage_change,Stage,Prospect,Qualified,Closed Deferred,0,20 days 13:19:00.000000000,20,8/25/15 0:00,9/14/15 0:00,8/25/15 0:00,9/14/15 13:19,2015,9,3/25/16 0:00,United States,80,213,"(Prospect, Qualified)"
0062000000f9AMd,stage_change,Stage,Qualified,Buying Process id.,Closed Deferred,0,29 days 10:53:00.000000000,29,8/25/15 0:00,10/13/15 0:00,9/14/15 0:00,10/13/15 10:53,2015,10,3/25/16 0:00,United States,80,213,"(Qualified, Buying Process id.)"
0062000000f9AMd,stage_change,Stage,Buying Process id.,Closed Deferred,Closed Deferred,0,99 days 10:15:00.000000000,99,8/25/15 0:00,1/20/16 0:00,10/13/15 0:00,1/20/16 10:15,2016,1,3/25/16 0:00,United States,80,213,"(Buying Process id., Closed Deferred)"
0062000000f9AMd,stage_change,Stage,Closed Deferred,Qualified,Closed Deferred,0,0 days 10:16:00.000000000,0,8/25/15 0:00,1/20/16 0:00,1/20/16 0:00,1/20/16 10:16,2016,1,3/25/16 0:00,United States,80,213,"(Closed Deferred, Qualified)"
0062000000f9AMd,stage_change,Stage,Qualified,Closed Deferred,Closed Deferred,0,65 days 12:24:00.000000000,65,8/25/15 0:00,3/25/16 0:00,1/20/16 0:00,3/25/16 12:24,2016,3,3/25/16 0:00,United States,80,213,"(Qualified, Closed Deferred)"
0062000000ETuzK,stage_change,Stage,Id. Decision Makers,Buying Process id.,Closed Deferred,0,0 days 05:54:00.000000000,0,7/28/10 0:00,2/22/11 0:00,2/22/11 0:00,2/22/11 5:54,2011,2,,United States,1826,642,"(Id. Decision Makers, Buying Process id.)"
0062000000ETuzK,stage_change,Stage,Buying Process id.,Qualified,Closed Deferred,0,0 days 12:39:00.000000000,0,7/28/10 0:00,4/28/11 0:00,4/28/11 0:00,4/28/11 12:39,2011,4,,United States,1826,642,"(Buying Process id., Qualified)"
0062000000ETuzK,stage_change,Stage,Qualified,Closed Deferred,Closed Deferred,0,0 days 05:19:00.000000000,0,7/28/10 0:00,6/14/11 0:00,6/14/11 0:00,6/14/11 5:19,2011,6,,United States,1826,642,"(Qualified, Closed Deferred)"
0062000000WVOzc,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 10:43:00.000000000,0,3/10/14 0:00,3/10/14 0:00,3/10/14 0:00,3/10/14 10:43,2014,3,4/28/16 0:00,United States,46,780,"(Created, Created)"
0062000000WVOzc,stage_change,Stage,Prospect,Buying Process id.,Closed Deferred,0,0 days 10:44:00.000000000,0,3/10/14 0:00,3/10/14 0:00,3/10/14 0:00,3/10/14 10:44,2014,3,4/28/16 0:00,United States,46,780,"(Prospect, Buying Process id.)"
0062000000WVOzc,stage_change,Stage,Buying Process id.,Qualified,Closed Deferred,0,102 days 08:34:00.000000000,102,3/10/14 0:00,6/20/14 0:00,3/10/14 0:00,6/20/14 8:34,2014,6,4/28/16 0:00,United States,46,780,"(Buying Process id., Qualified)"
0062000000WVOzc,stage_change,Stage,Qualified,Short List,Closed Deferred,0,308 days 11:23:00.000000000,308,3/10/14 0:00,4/24/15 0:00,6/20/14 0:00,4/24/15 11:23,2015,4,4/28/16 0:00,United States,46,780,"(Qualified, Short List)"
0062000000WVOzc,stage_change,Stage,Short List,Re-Qualify,Closed Deferred,0,297 days 17:51:00.000000000,297,3/10/14 0:00,2/15/16 0:00,4/24/15 0:00,2/15/16 17:51,2016,2,4/28/16 0:00,United States,46,780,"(Short List, Re-Qualify)"
0062000000WVOzc,stage_change,Stage,Re-Qualify,Closed Deferred,Closed Deferred,0,64 days 12:31:00.000000000,64,3/10/14 0:00,4/19/16 0:00,2/15/16 0:00,4/19/16 12:31,2016,4,4/28/16 0:00,United States,46,780,"(Re-Qualify, Closed Deferred)"
0062000000WVOzc,stage_change,Stage,Closed Deferred,Re-Qualify,Closed Deferred,0,0 days 12:32:00.000000000,0,3/10/14 0:00,4/19/16 0:00,4/19/16 0:00,4/19/16 12:32,2016,4,4/28/16 0:00,United States,46,780,"(Closed Deferred, Re-Qualify)"
0062000000WVOzc,stage_change,Stage,Re-Qualify,Closed Deferred,Closed Deferred,0,9 days 09:23:00.000000000,9,3/10/14 0:00,4/28/16 0:00,4/19/16 0:00,4/28/16 9:23,2016,4,4/28/16 0:00,United States,46,780,"(Re-Qualify, Closed Deferred)"
0062000000c3Naz,opp_created,Created.,Created,Created,Closed Won,100,0 days 15:28:00.000000000,0,2/12/15 0:00,2/12/15 0:00,2/12/15 0:00,2/12/15 15:28,2015,2,,United States,349,138,"(Created, Created)"
0062000000c3Naz,stage_change,Stage,Prospect,Buying Process id.,Closed Won,100,54 days 14:50:00.000000000,54,2/12/15 0:00,4/7/15 0:00,2/12/15 0:00,4/7/15 14:50,2015,4,,United States,349,138,"(Prospect, Buying Process id.)"
0062000000c3Naz,stage_change,Stage,Buying Process id.,Short List,Closed Won,100,17 days 11:24:00.000000000,17,2/12/15 0:00,4/24/15 0:00,4/7/15 0:00,4/24/15 11:24,2015,4,,United States,349,138,"(Buying Process id., Short List)"
0062000000c3Naz,stage_change,Stage,Short List,Negotiation/Review,Closed Won,100,34 days 08:55:00.000000000,34,2/12/15 0:00,5/28/15 0:00,4/24/15 0:00,5/28/15 8:55,2015,5,,United States,349,138,"(Short List, Negotiation/Review)"
0062000000c3Naz,stage_change,Stage,Negotiation/Review,Closed Won,Closed Won,100,33 days 12:00:00.000000000,33,2/12/15 0:00,6/30/15 0:00,5/28/15 0:00,6/30/15 12:00,2015,6,,United States,349,138,"(Negotiation/Review, Closed Won)"
0062000000hzn9Y,opp_created,Created.,Created,Created,Prospect,10,0 days 12:13:00.000000000,0,3/23/16 0:00,3/23/16 0:00,3/23/16 0:00,3/23/16 12:13,2016,3,,United States,82,82,"(Created, Created)"
0062000000gpZUg,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 10:40:00.000000000,0,12/4/15 0:00,12/4/15 0:00,12/4/15 0:00,12/4/15 10:40,2015,12,4/28/16 0:00,United States,46,146,"(Created, Created)"
0062000000gpZUg,stage_change,Stage,Prospect,Re-Qualify,Closed Deferred,0,77 days 11:45:00.000000000,77,12/4/15 0:00,2/19/16 0:00,12/4/15 0:00,2/19/16 11:45,2016,2,4/28/16 0:00,United States,46,146,"(Prospect, Re-Qualify)"
0062000000i1F8v,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 09:46:00.000000000,0,4/12/16 0:00,4/12/16 0:00,4/12/16 0:00,4/12/16 9:46,2016,4,5/10/16 0:00,United States,34,28,"(Created, Created)"
0062000000gpZUg,stage_change,Stage,Re-Qualify,Closed Deferred,Closed Deferred,0,69 days 10:56:00.000000000,69,12/4/15 0:00,4/28/16 0:00,2/19/16 0:00,4/28/16 10:56,2016,4,4/28/16 0:00,United States,46,146,"(Re-Qualify, Closed Deferred)"
0062000000i1F8v,stage_change,Stage,Prospect,Closed Deferred,Closed Deferred,0,28 days 14:12:00.000000000,28,4/12/16 0:00,5/10/16 0:00,4/12/16 0:00,5/10/16 14:12,2016,5,5/10/16 0:00,United States,34,28,"(Prospect, Closed Deferred)"
0062000000fvWvh,opp_created,Created by lead convert,Created,Created,Prospect,10,0 days 11:37:00.000000000,0,11/24/15 0:00,11/24/15 0:00,11/24/15 0:00,11/24/15 11:37,2015,11,,United Kingdom,202,202,"(Created, Created)"
0062000000eEnVH,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 15:47:00.000000000,0,7/7/15 0:00,7/7/15 0:00,7/7/15 0:00,7/7/15 15:47,2015,7,2/10/16 0:00,United States,124,218,"(Created, Created)"
0062000000eEnVH,stage_change,Stage,Prospect,Closed Deferred,Closed Deferred,0,218 days 10:49:00.000000000,218,7/7/15 0:00,2/10/16 0:00,7/7/15 0:00,2/10/16 10:49,2016,2,2/10/16 0:00,United States,124,218,"(Prospect, Closed Deferred)"
0062000000eEnVH,stage_change,SDR Created By,Created,Christina Garza,Closed Deferred,0,233 days 13:06:00.000000000,233,7/7/15 0:00,2/25/16 0:00,7/7/15 0:00,2/25/16 13:06,2016,2,2/10/16 0:00,United States,124,218,"(Created, Christina Garza)"
0062000000fs22H,opp_created,Created by lead convert,Created,Created,Closed Deferred,0,0 days 12:29:00.000000000,0,10/13/15 0:00,10/13/15 0:00,10/13/15 0:00,10/13/15 12:29,2015,10,12/21/15 0:00,Netherlands,175,353,"(Created, Created)"
